SYMB_ENS;SYMB_COMP;CLE;DESIGN;QTE
00980101;08801930;2;CORPS DE PINCE REPERE 1771;000000100
00980101;08801970;8;SABOT POUR PINCE D ANCR.R.1773;000000400
00980101;08808240;9;ETRIER DE 10-30-50- 17 REP.35;000000400
00980101;71674471;9;ECROU HFR M10 INOX;000000800
00980102;08801932;8;CORPS DE PINCE D ANCRAGE R1776;000000100
00980102;08801975;7;SABOT REPERE 1778;000000400
00980102;08838388;0;ETRIER DE 10-33-60;000000400
00980102;71674471;9;ECROU HFR M10 INOX;000000800
00980103;08801932;8;CORPS DE PINCE D ANCRAGE R1776;000000100
00980103;08801976;5;SABOT POUR PINCE D'ANCR R:1764;000000400
00980103;08838388;0;ETRIER DE 10-33-60;000000400
00980103;71674471;9;ECROU HFR M10 INOX;000000800
00980105;08801157;2;COSSE DE DERIVATION        988;000000100
00980105;08804391;4;ETRIER DE 10-38-45    17 R.231;000000200
00980105;71674471;9;ECROU HFR M10 INOX;000000400
00980601;01604635;1;BOULON HM14-65T,E.HT,GALV.;000000200
00980601;01670457;9;ECROU H,M 14 T GALVANISE;000000200
00980601;01697896;7;GOUPIL.CYL.FENDUE V,5-40 CUIVR;000000100
00980601;08804500;0;PINCE 1 FIL RAINURE REP.4000;000000200
00980601;08804662;8;SERRE-TUBE TUBE 28-3,1 R203415;000000200
00980601;08804896;2;TUBE 28-3,1 L=0,460 R. 204361;000000100
00980602;01604635;1;BOULON HM14-65T,E.HT,GALV.;000000200
00980602;01670457;9;ECROU H,M 14 T GALVANISE;000000200
00980602;01697896;7;GOUPIL.CYL.FENDUE V,5-40 CUIVR;000000100
00980602;08804500;0;PINCE 1 FIL RAINURE REP.4000;000000200
00980602;08804662;8;SERRE-TUBE TUBE 28-3,1 R203415;000000200
00980602;08804897;0;TUBE 28-3,1 L=0,610 R.204362;000000100
00980603;01604635;1;BOULON HM14-65T,E.HT,GALV.;000000200
00980603;01670457;9;ECROU H,M 14 T GALVANISE;000000200
00980603;01697896;7;GOUPIL.CYL.FENDUE V,5-40 CUIVR;000000100
00980603;08804500;0;PINCE 1 FIL RAINURE REP.4000;000000200
00980603;08804662;8;SERRE-TUBE TUBE 28-3,1 R203415;000000200
00980603;08804898;8;TUBE 28-3,1 L=0,860 R.204363;000000100
00980605;01680152;4;RONDELLE M12 INOX;000000100
00980605;01697264;8;GOUPILLE ACIER INOX V3,2-25;000000100
00980605;08830500;8;ETRIER DE 10-61-70  17 REP.75;000000200
00980605;08833680;5;DEMI-COLLIER A CHAPE R. 204886;000000100
00980605;71674471;9;ECROU HFR M10 INOX;000000400
00980605;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980612;01697264;8;GOUPILLE ACIER INOX V3,2-25;000000200
00980612;01747656;5;AXE D'ARTICULATION TETE 10-30;000000200
00980612;08800738;0;ETRIER DE 10-50-65- 17 REP. 64;000000100
00980612;08804486;2;PIECE D ATTACHE S/TUBE R204877;000000200
00980612;08838390;6;ETRIER DE 10-50-65    17 R.245;000000100
00980612;71674471;9;ECROU HFR M10 INOX;000000400
00980612;71684457;6;RONDELLE M 10 U;000000200
00980612;80900108;*;SUSPENSION SOUPLE   voir 4515;000000100
00980613;01697264;8;GOUPILLE ACIER INOX V3,2-25;000000200
00980613;01747656;5;AXE D'ARTICULATION TETE 10-30;000000200
00980613;08800738;0;ETRIER DE 10-50-65- 17 REP. 64;000000200
00980613;08804486;2;PIECE D ATTACHE S/TUBE R204877;000000200
00980613;71674471;9;ECROU HFR M10 INOX;000000400
00980613;71684457;6;RONDELLE M 10 U;000000200
00980613;80900108;*;SUSPENSION SOUPLE   voir 4515;000000100
00980614;01697264;8;GOUPILLE ACIER INOX V3,2-25;000000200
00980614;01747656;5;AXE D'ARTICULATION TETE 10-30;000000200
00980614;08804486;2;PIECE D ATTACHE S/TUBE R204877;000000100
00980614;08804487;0;PIECE D ATTACHE REP.204882;000000100
00980614;08808262;3;ETRIER DE 10-61-80- 17 REP.77;000000100
00980614;08838390;6;ETRIER DE 10-50-65    17 R.245;000000100
00980614;71674471;9;ECROU HFR M10 INOX;000000400
00980614;71684457;6;RONDELLE M 10 U;000000200
00980614;80900108;*;SUSPENSION SOUPLE   voir 4515;000000100
00980615;01697264;8;GOUPILLE ACIER INOX V3,2-25;000000200
00980615;01747656;5;AXE D'ARTICULATION TETE 10-30;000000200
00980615;08800738;0;ETRIER DE 10-50-65- 17 REP. 64;000000100
00980615;08804486;2;PIECE D ATTACHE S/TUBE R204877;000000100
00980615;08804487;0;PIECE D ATTACHE REP.204882;000000100
00980615;08808262;3;ETRIER DE 10-61-80- 17 REP.77;000000100
00980615;71674471;9;ECROU HFR M10 INOX;000000400
00980615;71684457;6;RONDELLE M 10 U;000000200
00980615;80900108;*;SUSPENSION SOUPLE   voir 4515;000000100
00980616;08804315;3;CROISILLON REPERE 204887;000000100
00980616;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980616;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980616;08834440;3;TUBE DROIT 38-4 ZC204893 L=125;000000100
00980616;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980617;08804315;3;CROISILLON REPERE 204887;000000100
00980617;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980617;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980617;08834441;1;TUBE DROIT 38-4 ZC204893 L=160;000000100
00980617;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980618;08804315;3;CROISILLON REPERE 204887;000000100
00980618;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980618;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980618;08834442;9;TUBE DROIT 38-4 ZC204893 L=195;000000100
00980618;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980619;08804315;3;CROISILLON REPERE 204887;000000100
00980619;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980619;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980619;08834443;7;TUBE DROIT 38-4 ZC204893 L=230;000000100
00980619;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980620;08804315;3;CROISILLON REPERE 204887;000000100
00980620;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980620;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980620;08834444;5;TUBE DROIT 38-4 ZC204893 L=265;000000100
00980620;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980621;08804315;3;CROISILLON REPERE 204887;000000100
00980621;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980621;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980621;08834445;2;TUBE DROIT 38-4 ZC204893 L=290;000000100
00980621;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980622;08804315;3;CROISILLON REPERE 204887;000000100
00980622;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980622;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980622;08834446;0;TUBE DROIT 38-4 ZC204893 L=315;000000100
00980622;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980623;08804315;3;CROISILLON REPERE 204887;000000100
00980623;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980623;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980623;08834447;8;TUBE DROIT 38-4 ZC204893 L=340;000000100
00980623;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980624;08804315;3;CROISILLON REPERE 204887;000000100
00980624;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980624;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980624;08834448;6;TUBE DROIT 38-4 ZC204893 L=365;000000100
00980624;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980625;08804315;3;CROISILLON REPERE 204887;000000100
00980625;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980625;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980625;08834449;4;TUBE DROIT 38-4 ZC204893 L=390;000000100
00980625;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980626;08804315;3;CROISILLON REPERE 204887;000000100
00980626;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980626;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980626;08834450;2;TUBE DROIT 38-4 ZC204893 L=420;000000100
00980626;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980627;08804315;3;CROISILLON REPERE 204887;000000100
00980627;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980627;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980627;08834451;0;TUBE DROIT 38-4 ZC204893 L=450;000000100
00980627;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980628;08804315;3;CROISILLON REPERE 204887;000000100
00980628;08804452;4;MANCHON DE BLOCAGE REP.204158;000000100
00980628;08833997;3;TIGE DE REGLAGE A CHAPE 204892;000000100
00980628;08834439;5;TUBE DROIT 38-4 ZC204893 L=090;000000100
00980628;71754147;8;AXE GOUPILLE DE 12X55;000000100
00980629;00980616;*;TUBE D'ANTIBAL    204891 R.101;000000100
00980629;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980629;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980629;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980630;00980617;*;TUBE D'ANTIBAL    204891 R.102;000000100
00980630;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980630;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980630;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980631;00980618;*;TUBE D'ANTIBAL    204891 R.103;000000100
00980631;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980631;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980631;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980632;00980619;*;TUBE D'ANTIBAL    204891 R.104;000000100
00980632;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980632;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980632;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980633;00980620;*;TUBE D'ANTIBAL    204891 R.105;000000100
00980633;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980633;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980633;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980634;00980621;*;TUBE D'ANTIBAL    204891 R.106;000000100
00980634;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980634;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980634;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980635;00980622;*;TUBE D'ANTIBAL    204891 R.107;000000100
00980635;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980635;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980635;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980636;00980623;*;TUBE D'ANTIBAL    204891 R.108;000000100
00980636;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980636;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980636;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980637;00980624;*;TUBE D'ANTIBAL    204891 R.109;000000100
00980637;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980637;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980637;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980638;00980625;*;TUBE D'ANTIBAL    204891 R.110;000000100
00980638;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980638;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980638;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980639;00980626;*;TUBE D'ANTIBAL    204891 R.111;000000100
00980639;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980639;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980639;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980640;00980627;*;TUBE D'ANTIBAL    204891 R.112;000000100
00980640;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980640;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980640;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980641;00980628;*;TUBE D'ANTIBAL    204891 R.113;000000100
00980641;00980644;*;PINCE 13,5<D<18 ENS.      4030;000000100
00980641;01604647;6;BOULON HM14-70T,2E.HT,GALV.;000000100
00980641;08833972;6;SERRE TUBE DE 38-4  REP.203196;000000100
00980642;01680152;4;RONDELLE M12 INOX;000000100
00980642;01697264;8;GOUPILLE ACIER INOX V3,2-25;000000200
00980642;08830500;8;ETRIER DE 10-61-70  17 REP.75;000000100
00980642;08833554;2;DEMI BRIDE A CHAPE      203526;000000100
00980642;08833687;0;CROISILLON A CHAPE REP. 204997;000000100
00980642;71674471;9;ECROU HFR M10 INOX;000000200
00980642;71754147;8;AXE GOUPILLE DE 12X55;000000200
00980643;01697264;8;GOUPILLE ACIER INOX V3,2-25;000000200
00980643;01747656;5;AXE D'ARTICULATION TETE 10-30;000000200
00980643;08804487;0;PIECE D ATTACHE REP.204882;000000200
00980643;08808262;3;ETRIER DE 10-61-80- 17 REP.77;000000200
00980643;71674471;9;ECROU HFR M10 INOX;000000400
00980643;71684457;6;RONDELLE M 10 U;000000200
00980643;80900108;*;SUSPENSION SOUPLE   voir 4515;000000100
00980644;08804509;1;PINCE POUR CABLES  4031 R.4031;000000200
00980644;71636744;6;VIS HM,12-55/30;000000200
00980644;71674602;9;ECROU HFR M12 INOX;000000200
00980645;01680152;4;RONDELLE M12 INOX;000000100
00980645;01697264;8;GOUPILLE ACIER INOX V3,2-25;000000200
00980645;08804315;3;CROISILLON REPERE 204887;000000100
00980645;08830500;8;ETRIER DE 10-61-70  17 REP.75;000000100
00980645;08833554;2;DEMI BRIDE A CHAPE      203526;000000100
00980645;71674471;9;ECROU HFR M10 INOX;000000200
00980645;71754147;8;AXE GOUPILLE DE 12X55;000000200
00981101;08805715;3;PIECE RAINUREE REPERE 205083;000000200
00981101;08808255;7;ETRIER DE 10-36-55- 17 REP.46;000000100
00981111;03682405;0;CABLE ACIER INOXYDABLE DE 5 MM;000000150
00981111;08804350;0;EMBOUT A SERTIR         203212;000000100
00981111;08805280;8;EMBOUT A COSSE A SERTIR;000000100
00981112;03682405;0;CABLE ACIER INOXYDABLE DE 5 MM;000000150
00981112;08804350;0;EMBOUT A SERTIR         203212;000000100
00981112;08805280;8;EMBOUT A COSSE A SERTIR;000000100
00981301;08806805;1;DEMI-GRIFFE DE CONNEXION R6511;000000200
00981301;71636744;6;VIS HM,12-55/30;000000200
00981301;71674602;9;ECROU HFR M12 INOX;000000200
00981301;71894563;7;RONDELLE CS,12-27-1,8;000000200
00981302;08806810;1;DEMI-GRIFFE DE CONNEXION R6517;000000200
00981302;71636744;6;VIS HM,12-55/30;000000200
00981302;71674602;9;ECROU HFR M12 INOX;000000200
00981302;71894563;7;RONDELLE CS,12-27-1,8;000000200
00981303;08806845;7;DEMI-GRIFFE DE CONNEXION R6556;000000200
00981303;71636744;6;VIS HM,12-55/30;000000200
00981303;71674602;9;ECROU HFR M12 INOX;000000200
00981303;71894563;7;RONDELLE CS,12-27-1,8;000000200
00981304;01630956;9;VIS H,M12 x 90;000000200
00981304;08806918;2;PIECE RAINUREE DE CROISE.R6793;000000400
00981304;71674602;9;ECROU HFR M12 INOX;000000200
00981304;71894563;7;RONDELLE CS,12-27-1,8;000000200
00981305;01630702;7;VIS H,M10 x 55;000000100
00981305;08806680;8;DEMI-AGRAFE REPERE 6826;000000200
00981305;71674471;9;ECROU HFR M10 INOX;000000100
00981305;71894541;3;RONDELLE CS,10-22-1,6;000000100
00981306;01630902;3;VIS H,M12 x 50;000000100
