SYMBOLE;CLE;FAMIL;PLAN;REPERE;DESIGN;O_G;PRIX_UNIT;U_STOCK
00980101;*;21463;001770;000000;PINCE D'ANCRAGE           ENS.;ZZ;;******
00980102;*;21463;001775;000000;PINCE ANCR FEEDER 261,5   1775;ZZ;;******
00980103;*;21463;001763;000000;PINCE ANCRAGE AL O12 A 20 1763;ZZ;;******
00980105;*;21463;000987;000000;COSSE DERIVATION D.18      987;ZZ;;******
00980601;*;21465;203410;203411;RAPPEL D'ECART 203410 R.203411;ZZ;;******
00980602;*;21465;203410;203412;RAPPEL D'ECART 203410 R.203412;ZZ;;******
00980603;*;21465;203410;203413;RAPPEL D'ECART 203410 R.203413;ZZ;;******
00980605;*;21465;204885;000000;ATTACHE ANTI SUR 49-4,5 204885;ZZ;;******
00980612;*;21465;203203;203204;SUSPENS D'ANTI 203203 R.203204;ZZ;;******
00980613;*;21465;203203;203205;SUSPENS D'ANTI 203203 R.203205;ZZ;;******
00980614;*;21465;203203;203206;SUSPENS D'ANTI 203203 R.203206;ZZ;;******
00980615;*;21465;203203;203207;SUSPENS D'ANTI 203203 R.203207;ZZ;;******
00980616;*;21465;204891;000101;TUBE D'ANTIBAL    204891 R.101;ZZ;;******
00980617;*;21465;204891;000102;TUBE D'ANTIBAL    204891 R.102;ZZ;;******
00980618;*;21465;204891;000103;TUBE D'ANTIBAL    204891 R.103;ZZ;;******
00980619;*;21465;204891;000104;TUBE D'ANTIBAL    204891 R.104;ZZ;;******
00980620;*;21465;204891;000105;TUBE D'ANTIBAL    204891 R.105;ZZ;;******
00980621;*;21465;204891;000106;TUBE D'ANTIBAL    204891 R.106;ZZ;;******
00980622;*;21465;204891;000107;TUBE D'ANTIBAL    204891 R.107;ZZ;;******
00980623;*;21465;204891;000108;TUBE D'ANTIBAL    204891 R.108;ZZ;;******
00980624;*;21465;204891;000109;TUBE D'ANTIBAL    204891 R.109;ZZ;;******
00980625;*;21465;204891;000110;TUBE D'ANTIBAL    204891 R.110;ZZ;;******
00980626;*;21465;204891;000111;TUBE D'ANTIBAL    204891 R.111;ZZ;;******
00980627;*;21465;204891;000112;TUBE D'ANTIBAL    204891 R.112;ZZ;;******
00980628;*;21465;204891;000113;TUBE D'ANTIBAL    204891 R.113;ZZ;;******
00980629;*;21465;204904;000101;ANTIBALANCANT     204904 R.101;ZZ;;******
00980630;*;21465;204904;000102;ANTIBALANCANT     204904 R.102;ZZ;;******
00980631;*;21465;204904;000103;ANTIBALANCANT     204904 R.103;ZZ;;******
00980632;*;21465;204904;000104;ANTIBALANCANT     204904 R.104;ZZ;;******
